player_id,source_file,output_file,site_file,source_size_bytes,output_size_bytes,compression_ratio,width,height,status,error
1630596,D:\nba\headshot\1630596.png,D:\nba\headshot(webp)\1630596.webp,D:\nba\salary_scatter_site\assets\headshots\1630596.webp,41666,4010,0.0962,120,120,skipped_existing,
1630166,D:\nba\headshot\1630166.png,D:\nba\headshot(webp)\1630166.webp,D:\nba\salary_scatter_site\assets\headshots\1630166.webp,54505,5808,0.1066,120,120,skipped_existing,
1642851,D:\nba\headshot\1642851.png,D:\nba\headshot(webp)\1642851.webp,D:\nba\salary_scatter_site\assets\headshots\1642851.webp,49350,5070,0.1027,120,120,skipped_existing,
1629638,D:\nba\headshot\1629638.png,D:\nba\headshot(webp)\1629638.webp,D:\nba\salary_scatter_site\assets\headshots\1629638.webp,44501,5126,0.1152,120,120,skipped_existing,
1630217,D:\nba\headshot\1630217.png,D:\nba\headshot(webp)\1630217.webp,D:\nba\salary_scatter_site\assets\headshots\1630217.webp,49498,5162,0.1043,120,120,skipped_existing,
2544,D:\nba\headshot\2544.png,D:\nba\headshot(webp)\2544.webp,D:\nba\salary_scatter_site\assets\headshots\2544.webp,48772,5464,0.112,120,120,skipped_existing,
1628374,D:\nba\headshot\1628374.png,D:\nba\headshot(webp)\1628374.webp,D:\nba\salary_scatter_site\assets\headshots\1628374.webp,40978,3696,0.0902,120,120,skipped_existing,
1630578,D:\nba\headshot\1630578.png,D:\nba\headshot(webp)\1630578.webp,D:\nba\salary_scatter_site\assets\headshots\1630578.webp,40488,3774,0.0932,120,120,skipped_existing,
1630577,D:\nba\headshot\1630577.png,D:\nba\headshot(webp)\1630577.webp,D:\nba\salary_scatter_site\assets\headshots\1630577.webp,48043,4296,0.0894,120,120,skipped_existing,
1627783,D:\nba\headshot\1627783.png,D:\nba\headshot(webp)\1627783.webp,D:\nba\salary_scatter_site\assets\headshots\1627783.webp,45463,4908,0.108,120,120,skipped_existing,
201939,D:\nba\headshot\201939.png,D:\nba\headshot(webp)\201939.webp,D:\nba\salary_scatter_site\assets\headshots\201939.webp,52296,6020,0.1151,120,120,skipped_existing,
1642270,D:\nba\headshot\1642270.png,D:\nba\headshot(webp)\1642270.webp,D:\nba\salary_scatter_site\assets\headshots\1642270.webp,55247,5632,0.1019,120,120,skipped_existing,
1630552,D:\nba\headshot\1630552.png,D:\nba\headshot(webp)\1630552.webp,D:\nba\salary_scatter_site\assets\headshots\1630552.webp,44116,5236,0.1187,120,120,skipped_existing,
1628978,D:\nba\headshot\1628978.png,D:\nba\headshot(webp)\1628978.webp,D:\nba\salary_scatter_site\assets\headshots\1628978.webp,51974,4448,0.0856,120,120,skipped_existing,
1631105,D:\nba\headshot\1631105.png,D:\nba\headshot(webp)\1631105.webp,D:\nba\salary_scatter_site\assets\headshots\1631105.webp,52820,5926,0.1122,120,120,skipped_existing,
1641709,D:\nba\headshot\1641709.png,D:\nba\headshot(webp)\1641709.webp,D:\nba\salary_scatter_site\assets\headshots\1641709.webp,53886,6028,0.1119,120,120,skipped_existing,
1631094,D:\nba\headshot\1631094.png,D:\nba\headshot(webp)\1631094.webp,D:\nba\salary_scatter_site\assets\headshots\1631094.webp,52122,5292,0.1015,120,120,skipped_existing,
1641706,D:\nba\headshot\1641706.png,D:\nba\headshot(webp)\1641706.webp,D:\nba\salary_scatter_site\assets\headshots\1641706.webp,49906,5322,0.1066,120,120,skipped_existing,
1629674,D:\nba\headshot\1629674.png,D:\nba\headshot(webp)\1629674.webp,D:\nba\salary_scatter_site\assets\headshots\1629674.webp,44469,4322,0.0972,120,120,skipped_existing,
1641717,D:\nba\headshot\1641717.png,D:\nba\headshot(webp)\1641717.webp,D:\nba\salary_scatter_site\assets\headshots\1641717.webp,52626,4836,0.0919,120,120,skipped_existing,
1641739,D:\nba\headshot\1641739.png,D:\nba\headshot(webp)\1641739.webp,D:\nba\salary_scatter_site\assets\headshots\1641739.webp,55436,5856,0.1056,120,120,skipped_existing,
1642349,D:\nba\headshot\1642349.png,D:\nba\headshot(webp)\1642349.webp,D:\nba\salary_scatter_site\assets\headshots\1642349.webp,48495,5186,0.1069,120,120,skipped_existing,
1630170,D:\nba\headshot\1630170.png,D:\nba\headshot(webp)\1630170.webp,D:\nba\salary_scatter_site\assets\headshots\1630170.webp,47778,4560,0.0954,120,120,skipped_existing,
201950,D:\nba\headshot\201950.png,D:\nba\headshot(webp)\201950.webp,D:\nba\salary_scatter_site\assets\headshots\201950.webp,54767,5646,0.1031,120,120,skipped_existing,
1629008,D:\nba\headshot\1629008.png,D:\nba\headshot(webp)\1629008.webp,D:\nba\salary_scatter_site\assets\headshots\1629008.webp,45996,4214,0.0916,120,120,skipped_existing,
203935,D:\nba\headshot\203935.png,D:\nba\headshot(webp)\203935.webp,D:\nba\salary_scatter_site\assets\headshots\203935.webp,49488,5486,0.1109,120,120,skipped_existing,
202699,D:\nba\headshot\202699.png,D:\nba\headshot(webp)\202699.webp,D:\nba\salary_scatter_site\assets\headshots\202699.webp,54224,6044,0.1115,120,120,skipped_existing,
203932,D:\nba\headshot\203932.png,D:\nba\headshot(webp)\203932.webp,D:\nba\salary_scatter_site\assets\headshots\203932.webp,51231,5956,0.1163,120,120,skipped_existing,
1628969,D:\nba\headshot\1628969.png,D:\nba\headshot(webp)\1628969.webp,D:\nba\salary_scatter_site\assets\headshots\1628969.webp,55110,6132,0.1113,120,120,skipped_existing,
1631095,D:\nba\headshot\1631095.png,D:\nba\headshot(webp)\1631095.webp,D:\nba\salary_scatter_site\assets\headshots\1631095.webp,41963,3614,0.0861,120,120,skipped_existing,
1630193,D:\nba\headshot\1630193.png,D:\nba\headshot(webp)\1630193.webp,D:\nba\salary_scatter_site\assets\headshots\1630193.webp,47595,4810,0.1011,120,120,skipped_existing,
1630591,D:\nba\headshot\1630591.png,D:\nba\headshot(webp)\1630591.webp,D:\nba\salary_scatter_site\assets\headshots\1630591.webp,48800,5336,0.1093,120,120,skipped_existing,
1628392,D:\nba\headshot\1628392.png,D:\nba\headshot(webp)\1628392.webp,D:\nba\salary_scatter_site\assets\headshots\1628392.webp,46441,5124,0.1103,120,120,skipped_existing,
1630532,D:\nba\headshot\1630532.png,D:\nba\headshot(webp)\1630532.webp,D:\nba\salary_scatter_site\assets\headshots\1630532.webp,48786,5338,0.1094,120,120,skipped_existing,
203468,D:\nba\headshot\203468.png,D:\nba\headshot(webp)\203468.webp,D:\nba\salary_scatter_site\assets\headshots\203468.webp,44735,4768,0.1066,120,120,skipped_existing,
1629636,D:\nba\headshot\1629636.png,D:\nba\headshot(webp)\1629636.webp,D:\nba\salary_scatter_site\assets\headshots\1629636.webp,52725,5088,0.0965,120,120,skipped_existing,
1630183,D:\nba\headshot\1630183.png,D:\nba\headshot(webp)\1630183.webp,D:\nba\salary_scatter_site\assets\headshots\1630183.webp,51000,4280,0.0839,120,120,skipped_existing,
1630168,D:\nba\headshot\1630168.png,D:\nba\headshot(webp)\1630168.webp,D:\nba\salary_scatter_site\assets\headshots\1630168.webp,43240,4984,0.1153,120,120,skipped_existing,
1628976,D:\nba\headshot\1628976.png,D:\nba\headshot(webp)\1628976.webp,D:\nba\salary_scatter_site\assets\headshots\1628976.webp,52353,5208,0.0995,120,120,skipped_existing,
1629628,D:\nba\headshot\1629628.png,D:\nba\headshot(webp)\1629628.webp,D:\nba\salary_scatter_site\assets\headshots\1629628.webp,43589,4578,0.105,120,120,skipped_existing,
